Practice #1:  |   Practice_1
Practice #2:  |   Practice_2
Practice #3:  |   Practice_3
Practice #4:  |   Practice_4
=========================================
Trial # 5:    |   -35_to_neg50--Lights_io
Trial # 6:    |   -50_to_neg20--Lights_io
Trial # 7:    |   35_to_0--Lights_oi
Trial # 8:    |   -50_to_0--Lights_io
Trial # 9:    |   35_to_0--Lights_ii
Trial #10:    |   35_to_0--Lights_io
Trial #11:    |   -50_to_0--Lights_oo
Trial #12:    |   -50_to_neg20--Lights_ii
Trial #13:    |   -35_to_neg50--Lights_oo
Trial #14:    |   50_to_neg20--Lights_io
Trial #15:    |   35_to_0--Lights_oo
Trial #16:    |   35_to_neg20--Lights_ii
Trial #17:    |   -35_to_neg50--Lights_ii
Trial #18:    |   -50_to_0--Lights_ii
Trial #19:    |   35_to_neg20--Lights_io
Trial #20:    |   35_to_neg20--Lights_oi
Trial #21:    |   -50_to_0--Lights_oi
Trial #22:    |   -50_to_neg20--Lights_oo
Trial #23:    |   35_to_neg20--Lights_oo
Trial #24:    |   50_to_neg20--Lights_oo
Trial #25:    |   -35_to_neg50--Lights_oi
Trial #26:    |   50_to_neg20--Lights_ii
Trial #27:    |   -50_to_neg20--Lights_oi
Trial #28:    |   50_to_neg20--Lights_oi
