10Hz,YAW,THRESHOLDS_0.5HZ_GAP6S_100TRIALS_20193281550_1.CSV
0,0,
100,0,
200,0,
300,-0.0114,
400,0.0114,
500,0.0229,
600,0.0458,
700,0.0343,
800,0.0424,
900,0.0589,
1000,0.0229,
1100,0.0572,
1200,0.0504,
1300,0.0229,
1400,0.0458,
1500,0.0458,
1600,0.0114,
1700,0.0114,
1800,0,
1900,0,
2000,0,
2100,0,
2200,0,
2300,0,
2400,0,
2500,-0.0114,
2600,0,
2700,0,
2800,0,
2900,0,
3000,0,
3100,0,
3200,0,
3300,0.0114,
3400,0,
3500,0.0114,
3600,0,
3700,0,
3800,0,
3900,0,
4000,0,
4100,-0.0114,
4200,0.0115,
4300,0,
4400,0,
4500,0,
4600,0.0114,
4700,0,
4800,0,
4900,0,
5000,0,
5100,-0.0114,
5200,0,
5300,0,
5400,0,
5500,-0.0114,
5600,-0.0114,
5700,0,
5800,-0.0114,
5900,0,
6000,0,
6100,-0.0114,
6200,0,
6300,-0.0114,
6400,0,
6500,0.0114,
6600,0,
6700,-0.0114,
6800,0.0114,
6900,0,
7000,0,
7100,0,
7200,0,
7300,0.0114,
7400,0,
7500,-0.0114,
7600,0,
7700,0,
7800,0,
7900,0,
8000,0.0114,
8100,0,
8200,-0.124,
8300,-0.3485,
8400,-0.5667,
8500,-0.7438,
8600,-1.1215,
8700,-1.2931,
8800,-1.4857,
8900,-1.6414,
9000,-1.6868,
9100,-1.666,
9200,-1.5648,
9300,-1.4132,
9400,-1.0544,
9500,-0.8981,
9600,-0.6139,
9700,-0.3276,
9800,-0.1941,
9900,-0.0229,
10000,-0.0114,
10100,0,
10200,0.0114,
10300,0,
10400,0,
10500,0,
10600,0,
10700,0,
10800,0,
10900,0,
11000,0,
11100,0,
11200,0.0114,
11300,0,
11400,0,
11500,0,
11600,0,
11700,0,
11800,0.0114,
11900,0.0114,
12000,-0.0114,
12100,0,
12200,0,
12300,0,
12400,0,
12500,0,
12600,0,
12700,0,
12800,0,
12900,-0.0114,
13000,-0.0114,
13100,0.0114,
13200,0,
13300,0,
13400,0,
13500,0,
13600,0,
13700,-0.0114,
13800,0,
13900,0,
14000,0,
14100,0,
14200,0,
14300,0,
14400,0,
14500,0.0114,
14600,0,
14700,0.0114,
14800,0.0114,
14900,0,
15000,0,
15100,-0.0114,
15200,0.0114,
15300,0.0115,
15400,0,
15500,-0.0114,
15600,0.0114,
15700,0,
15800,0,
15900,0.0114,
16000,0,
16100,0,
16200,0,
16300,-0.0229,
16400,-0.0825,
16500,-0.1275,
16600,-0.1281,
16700,-0.1223,
16800,-0.1926,
16900,-0.1954,
17000,-0.1872,
17100,-0.2052,
17200,-0.1927,
17300,-0.1607,
17400,-0.1341,
17500,-0.11,
17600,-0.0741,
17700,-0.0458,
17800,-0.0229,
17900,0,
18000,0,
18100,0,
18200,0,
18300,0,
18400,0,
18500,-0.0114,
18600,-0.0114,
18700,0,
18800,0,
18900,0,
19000,0,
19100,0,
19200,0,
19300,-0.0114,
19400,0,
19500,-0.0114,
19600,0,
19700,0.0114,
19800,-0.0114,
19900,0,
20000,0,
20100,0.0114,
20200,0,
20300,0,
20400,0.0114,
20500,0,
20600,0,
20700,0,
20800,0,
20900,0,
21000,0.0114,
21100,0,
21200,-0.0114,
21300,0,
21400,0,
21500,0.0114,
21600,0,
21700,-0.0114,
21800,0,
21900,0,
22000,0,
22100,0.0114,
22200,0,
22300,0.0114,
22400,0,
22500,0.0114,
22600,0,
22700,0,
22800,0,
22900,0,
23000,0,
23100,-0.0114,
23200,0,
23300,0,
23400,0,
23500,0,
23600,0.0114,
23700,0,
23800,0,
23900,0,
24000,0.0114,
24100,0,
24200,0,
24300,0.0343,
24400,0.0562,
24500,0.1196,
24600,0.1117,
24700,0.1398,
24800,0.1907,
24900,0.1941,
25000,0.1974,
25100,0.2057,
25200,0.1861,
25300,0.1573,
25400,0.1339,
25500,0.1016,
25600,0.0809,
25700,0.0458,
25800,0.0114,
25900,0,
26000,0,
26100,0,
26200,0,
26300,-0.0114,
26400,0,
26500,0.0114,
26600,0,
26700,0,
26800,0.0114,
26900,0.0114,
27000,0,
27100,-0.0114,
27200,0.0114,
27300,0,
27400,0,
27500,-0.0114,
27600,-0.0114,
27700,0,
27800,0,
27900,0,
28000,0,
28100,0,
28200,0,
28300,0,
28400,0,
28500,0.0115,
28600,0,
28700,0,
28800,0,
28900,0,
29000,0.0114,
29100,-0.0114,
29200,0,
29300,0.0114,
29400,-0.0114,
29500,0,
29600,0,
29700,0.0114,
29800,0,
29900,0,
30000,-0.0114,
30100,0,
30200,0,
30300,0,
30400,-0.0114,
30500,0,
30600,0,
30700,-0.0114,
30800,0,
30900,0,
31000,0,
31100,0.0114,
31200,0,
31300,0.0114,
31400,0,
31500,0,
31600,0.0114,
31700,0,
31800,-0.0114,
31900,-0.0114,
32000,0.0114,
32100,0,
32200,0,
32300,-0.0229,
32400,-0.0599,
32500,-0.0644,
32600,-0.1036,
32700,-0.0927,
32800,-0.0983,
32900,-0.1353,
33000,-0.1353,
33100,-0.1224,
33200,-0.1284,
33300,-0.0976,
33400,-0.0822,
33500,-0.0731,
33600,-0.0458,
33700,-0.0229,
33800,-0.0229,
33900,-0.0114,
34000,0,
34100,0.0114,
34200,0,
34300,0,
34400,0,
34500,-0.0114,
34600,0,
34700,0.0114,
34800,0,
34900,0.0114,
35000,0,
35100,0.0114,
35200,0.0114,
35300,0.0114,
35400,0,
35500,0,
35600,0,
35700,-0.0114,
35800,-0.0114,
35900,-0.0114,
36000,0,
36100,0,
36200,0,
36300,-0.0114,
36400,0,
36500,0,
36600,0,
36700,0,
36800,0,
36900,0,
37000,0,
37100,0,
37200,0.0114,
37300,0,
37400,0,
37500,0,
37600,0,
37700,0,
37800,0,
37900,-0.0114,
38000,-0.0114,
38100,0,
38200,-0.0114,
38300,0,
38400,0,
38500,-0.0114,
38600,0,
38700,-0.0114,
38800,0,
38900,-0.0114,
39000,0.0114,
39100,0.0114,
39200,0,
39300,0.0114,
39400,-0.0114,
39500,0.0114,
39600,0,
39700,0.0114,
39800,0,
39900,0.0114,
40000,0,
40100,-0.0114,
40200,0,
40300,-0.0114,
40400,-0.0885,
40500,-0.1295,
40600,-0.1075,
40700,-0.1447,
40800,-0.2114,
40900,-0.1901,
41000,-0.1944,
41100,-0.2154,
41200,-0.1903,
41300,-0.1516,
41400,-0.1208,
41500,-0.0991,
41600,-0.0799,
41700,-0.0485,
41800,-0.0114,
41900,0,
42000,0,
42100,0,
42200,-0.0114,
42300,0,
42400,0,
42500,-0.0114,
42600,0,
42700,0,
42800,0,
42900,0,
43000,0,
43100,-0.0114,
43200,0.0114,
43300,-0.0114,
43400,0,
43500,0,
43600,-0.0114,
43700,0,
43800,0.0114,
43900,0.0114,
44000,-0.0114,
44100,0.0114,
44200,0,
44300,0,
44400,-0.0114,
44500,0,
44600,0,
44700,0.0114,
44800,-0.0114,
44900,0,
45000,0.0114,
45100,0,
45200,0,
45300,0,
45400,0,
45500,0,
45600,0.0114,
45700,0,
45800,0,
45900,0,
46000,0,
46100,0,
46200,0,
46300,0.0114,
46400,0,
46500,0,
46600,0,
46700,0.0114,
46800,0,
46900,0,
47000,0,
47100,0.0114,
47200,0.0114,
47300,0,
47400,0,
47500,0,
47600,0,
47700,0.0114,
47800,0,
47900,0,
48000,0.0114,
48100,0,
48200,0.0343,
48300,0.0542,
48400,0.183,
48500,0.2476,
48600,0.3127,
48700,0.3956,
48800,0.4625,
48900,0.4927,
49000,0.496,
49100,0.487,
49200,0.4644,
49300,0.4127,
49400,0.341,
49500,0.2996,
49600,0.1514,
49700,0.1108,
49800,0.0533,
49900,0.0114,
50000,0,
50100,0.0114,
50200,0,
50300,0,
50400,0,
50500,0,
50600,0,
50700,0,
50800,0,
50900,0,
51000,0,
51100,0,
51200,0,
51300,0,
51400,0,
51500,0,
51600,0,
51700,-0.0114,
51800,0,
51900,0,
52000,-0.0114,
52100,-0.0114,
52200,0,
52300,0.0114,
52400,0,
52500,0,
52600,0,
52700,0,
52800,0,
52900,0.0114,
53000,-0.0114,
53100,-0.0114,
53200,0,
53300,0,
53400,0.0114,
53500,0,
53600,0,
53700,0.0114,
53800,0.0114,
53900,0,
54000,0,
54100,-0.0114,
54200,0.0114,
54300,-0.0114,
54400,-0.0114,
54500,0,
54600,0,
54700,-0.0114,
54800,0.0114,
54900,0,
55000,0.0114,
55100,0,
55200,-0.0114,
55300,0,
55400,0,
55500,0,
55600,0.0114,
55700,0,
55800,0,
55900,0,
56000,0.0114,
56100,0,
56200,-0.0229,
56300,-0.1058,
56400,-0.1847,
56500,-0.2283,
56600,-0.3455,
56700,-0.387,
56800,-0.4387,
56900,-0.5063,
57000,-0.4898,
57100,-0.4902,
57200,-0.4621,
57300,-0.4005,
57400,-0.3327,
57500,-0.2837,
57600,-0.1708,
57700,-0.0961,
57800,-0.0528,
57900,-0.0114,
58000,0,
58100,0,
58200,0,
58300,0,
58400,0,
58500,0,
58600,0,
58700,0.0115,
58800,0,
58900,-0.0114,
59000,-0.0114,
59100,0.0114,
59200,-0.0114,
59300,-0.0114,
59400,0,
59500,0.0114,
59600,0,
59700,0,
59800,0,
59900,0,
60000,0.0114,
60100,0,
60200,0,
60300,0.0114,
60400,-0.0114,
60500,0,
60600,0,
60700,0.0114,
60800,0,
60900,0,
61000,0,
61100,0.0114,
61200,0,
61300,0,
61400,-0.0114,
61500,0,
61600,0,
61700,0,
61800,0,
61900,-0.0114,
62000,0,
62100,0,
62200,-0.0114,
62300,-0.0114,
62400,-0.0114,
62500,0,
62600,-0.0114,
62700,0.0114,
62800,0,
62900,0,
63000,0,
63100,0,
63200,-0.0114,
63300,0.0114,
63400,0,
63500,0,
63600,-0.0114,
63700,0,
63800,0,
63900,0,
64000,0.0114,
64100,0,
64200,0,
64300,0,
64400,-0.0971,
64500,-0.1353,
64600,-0.1291,
64700,-0.1417,
64800,-0.1757,
64900,-0.2278,
65000,-0.1936,
65100,-0.1898,
65200,-0.2018,
65300,-0.1532,
65400,-0.1255,
65500,-0.0951,
65600,-0.0882,
65700,-0.0458,
65800,-0.0114,
65900,-0.0114,
66000,-0.0114,
66100,0,
66200,0,
66300,0,
66400,0,
66500,0,
66600,0.0114,
66700,0,
66800,-0.0114,
66900,0,
67000,-0.0114,
67100,-0.0114,
67200,0,
67300,-0.0114,
67400,0,
67500,0.0114,
67600,0,
67700,-0.0114,
67800,0,
67900,0,
68000,0,
68100,0,
68200,-0.0114,
68300,0,
68400,0,
68500,0,
68600,0.0114,
68700,0,
68800,0,
68900,0,
69000,-0.0114,
69100,0,
69200,0,
69300,0.0114,
69400,0.0114,
69500,0,
69600,0,
69700,0,
69800,0.0114,
69900,0,
70000,0,
70100,0,
70200,0,
70300,0,
70400,0,
70500,0.0114,
70600,-0.0114,
70700,0.0114,
70800,0,
70900,0,
71000,0,
71100,0,
71200,0,
71300,0.0114,
71400,0,
71500,0,
71600,0,
71700,0,
71800,-0.0114,
71900,0.0114,
72000,0,
72100,0,
72200,0,
72300,0,
72400,-0.0572,
72500,-0.119,
72600,-0.0795,
72700,-0.0797,
72800,-0.1308,
72900,-0.1259,
73000,-0.1298,
73100,-0.1339,
73200,-0.1205,
73300,-0.0903,
73400,-0.0934,
73500,-0.0816,
73600,-0.0605,
73700,-0.0229,
73800,-0.0229,
73900,0,
74000,0,
74100,0.0114,
74200,0,
74300,0,
74400,0.0115,
74500,0,
74600,0,
