10Hz,YAW,THRESHOLDS_0.5HZ_GAP6S_100TRIALS_20171226152.CSV
0,0,
100,-0.0114,
200,0,
300,-0.0229,
400,-0.0343,
500,-0.0607,
600,-0.0926,
700,-0.1109,
800,-0.1308,
900,-0.1456,
1000,-0.152,
1100,-0.1437,
1200,-0.1327,
1300,-0.1247,
1400,-0.1121,
1500,-0.0827,
1600,-0.0421,
1700,-0.0458,
1800,-0.0114,
1900,0,
2000,0,
2100,0,
2200,-0.0114,
2300,0,
2400,0,
2500,0,
2600,0,
2700,0,
2800,0,
2900,0,
3000,0,
3100,0,
3200,0,
3300,0.0114,
3400,0,
3500,0,
3600,0,
3700,0,
3800,0,
3900,0,
4000,0.0114,
4100,0.0114,
4200,-0.0114,
4300,0,
4400,0,
4500,0,
4600,0,
4700,0,
4800,0.0114,
4900,0.0114,
5000,0,
5100,0,
5200,0,
5300,0.0114,
5400,-0.0114,
5500,-0.0114,
5600,0,
5700,0,
5800,0,
5900,0.0114,
6000,0,
6100,0,
6200,0.0114,
6300,0,
6400,0,
6500,0,
6600,0,
6700,0,
6800,0,
6900,0,
7000,0,
7100,0,
7200,0,
7300,-0.0114,
7400,-0.0114,
7500,0,
7600,0,
7700,0.0114,
7800,0,
7900,-0.0114,
8000,0,
8100,-0.0114,
8200,-0.0621,
8300,-0.1793,
8400,-0.3243,
8500,-0.4608,
8600,-0.6295,
8700,-0.8043,
8800,-0.9245,
8900,-1.0139,
9000,-1.0757,
9100,-1.0428,
9200,-1.0023,
9300,-0.8638,
9400,-0.7617,
9500,-0.5825,
9600,-0.4396,
9700,-0.2546,
9800,-0.1512,
9900,-0.0563,
10000,-0.0114,
10100,0,
10200,0,
10300,0,
10400,0,
10500,0,
10600,0,
10700,0,
10800,0,
10900,-0.0114,
11000,-0.0114,
11100,0.0114,
11200,0,
11300,0.0114,
11400,0,
11500,0,
11600,0,
11700,0,
11800,0,
11900,0,
12000,0,
12100,0,
12200,-0.0114,
12300,0,
12400,0.0114,
12500,0.0115,
12600,0,
12700,0,
12800,0.0114,
12900,-0.0114,
13000,0,
13100,0,
13200,0,
13300,0,
13400,0.0114,
13500,0,
13600,0,
13700,0,
13800,0,
13900,0,
14000,0,
14100,0,
14200,0,
14300,0,
14400,0.0114,
14500,0,
14600,0,
14700,-0.0114,
14800,0,
14900,0,
15000,0,
15100,0,
15200,0,
15300,0,
15400,0,
15500,-0.0114,
15600,0.0114,
15700,0,
15800,0,
15900,0,
16000,0,
16100,-0.0114,
16200,-0.0343,
16300,-0.0861,
16400,-0.1666,
16500,-0.2431,
16600,-0.3154,
16700,-0.401,
16800,-0.4742,
16900,-0.4921,
17000,-0.5184,
17100,-0.5316,
17200,-0.5095,
17300,-0.4587,
17400,-0.3861,
17500,-0.2912,
17600,-0.2176,
17700,-0.1377,
17800,-0.0933,
17900,-0.0229,
18000,0,
18100,0,
18200,-0.0114,
18300,0,
18400,0,
18500,0,
18600,-0.0114,
18700,0,
18800,0,
18900,0,
19000,-0.0114,
19100,0.0114,
19200,0,
19300,0,
19400,0.0114,
19500,0,
19600,0,
19700,0.0114,
19800,0,
19900,-0.0114,
20000,0,
20100,0,
20200,0,
20300,0,
20400,0,
20500,0,
20600,0.0114,
20700,0,
20800,0,
20900,0,
21000,0,
21100,0,
21200,0,
21300,0,
21400,0,
21500,0,
21600,0,
21700,0.0114,
21800,0.0114,
21900,0,
22000,0,
