epoc (ms),timestamp (-0600),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1623955428700,2021-06-17T12.43.48.700,0.000,-0.675,-0.221,-0.419
1623955428710,2021-06-17T12.43.48.710,0.010,-0.671,0.050,-0.629
1623955428721,2021-06-17T12.43.48.721,0.021,-0.137,-0.232,-0.255
1623955428729,2021-06-17T12.43.48.729,0.029,0.534,-0.290,-0.362
1623955428740,2021-06-17T12.43.48.740,0.040,0.221,-0.111,-0.370
1623955428750,2021-06-17T12.43.48.750,0.050,-0.316,-0.305,-0.301
1623955428760,2021-06-17T12.43.48.760,0.060,-0.305,-0.263,-0.347
1623955428769,2021-06-17T12.43.48.769,0.069,0.339,-0.202,-0.309
1623955428779,2021-06-17T12.43.48.779,0.079,0.732,-0.088,-0.293
1623955428789,2021-06-17T12.43.48.789,0.089,0.290,-0.160,-0.343
1623955428800,2021-06-17T12.43.48.800,0.100,-0.640,-0.324,-0.320
1623955428808,2021-06-17T12.43.48.808,0.108,-0.160,-0.290,-0.358
1623955428819,2021-06-17T12.43.48.819,0.119,0.796,-0.141,-0.385
1623955428829,2021-06-17T12.43.48.829,0.129,0.099,-0.050,-0.305
1623955428839,2021-06-17T12.43.48.839,0.139,-0.038,-0.065,-0.286
1623955428848,2021-06-17T12.43.48.848,0.148,0.408,-0.370,-0.324
1623955428858,2021-06-17T12.43.48.858,0.158,0.145,-0.248,-0.362
1623955428868,2021-06-17T12.43.48.868,0.168,-0.492,-0.221,-0.286
1623955428879,2021-06-17T12.43.48.879,0.179,-0.011,-0.130,-0.286
1623955428889,2021-06-17T12.43.48.889,0.189,0.896,-0.114,-0.377
1623955428898,2021-06-17T12.43.48.898,0.198,0.183,-0.206,-0.324
1623955428908,2021-06-17T12.43.48.908,0.208,-0.511,-0.236,-0.396
1623955428918,2021-06-17T12.43.48.918,0.218,0.126,-0.152,-0.293
1623955428929,2021-06-17T12.43.48.929,0.229,0.694,-0.168,-0.271
1623955428937,2021-06-17T12.43.48.937,0.237,0.309,-0.202,-0.274
1623955428948,2021-06-17T12.43.48.948,0.248,-0.381,-0.194,-0.343
1623955428958,2021-06-17T12.43.48.958,0.258,-0.271,-0.232,-0.286
1623955428968,2021-06-17T12.43.48.968,0.268,0.229,-0.111,-0.320
1623955428977,2021-06-17T12.43.48.977,0.277,0.789,-0.107,-0.320
1623955428987,2021-06-17T12.43.48.987,0.287,0.316,-0.133,-0.339
1623955428997,2021-06-17T12.43.48.997,0.297,-0.838,-0.252,-0.328
1623955429008,2021-06-17T12.43.49.008,0.308,-0.229,-0.263,-0.354
1623955429016,2021-06-17T12.43.49.016,0.316,0.941,-0.202,-0.290
1623955429027,2021-06-17T12.43.49.027,0.327,0.575,-0.137,-0.293
1623955429037,2021-06-17T12.43.49.037,0.337,-0.655,-0.152,-0.335
1623955429047,2021-06-17T12.43.49.047,0.347,-0.187,-0.225,-0.362
1623955429056,2021-06-17T12.43.49.056,0.356,0.800,-0.221,-0.332
1623955429066,2021-06-17T12.43.49.066,0.366,0.179,-0.210,-0.316
1623955429076,2021-06-17T12.43.49.076,0.376,-0.541,-0.160,-0.339
1623955429087,2021-06-17T12.43.49.087,0.387,0.179,-0.137,-0.271
1623955429096,2021-06-17T12.43.49.096,0.396,0.419,-0.076,-0.324
1623955429106,2021-06-17T12.43.49.106,0.406,-0.004,-0.133,-0.332
1623955429116,2021-06-17T12.43.49.116,0.416,0.122,-0.236,-0.339
1623955429126,2021-06-17T12.43.49.126,0.426,0.080,-0.232,-0.358
1623955429135,2021-06-17T12.43.49.135,0.435,0.069,-0.183,-0.362
1623955429145,2021-06-17T12.43.49.145,0.445,-0.103,-0.160,-0.320
1623955429156,2021-06-17T12.43.49.156,0.456,0.236,-0.065,-0.301
1623955429166,2021-06-17T12.43.49.166,0.466,0.030,-0.175,-0.301
1623955429176,2021-06-17T12.43.49.176,0.476,0.290,-0.347,-0.358
1623955429185,2021-06-17T12.43.49.185,0.485,0.473,-0.111,-0.312
1623955429195,2021-06-17T12.43.49.195,0.495,-0.796,-0.008,-0.263
1623955429205,2021-06-17T12.43.49.205,0.505,-0.149,-0.030,-0.255
1623955429216,2021-06-17T12.43.49.216,0.516,0.918,-0.267,-0.312
1623955429224,2021-06-17T12.43.49.224,0.524,0.583,-0.255,-0.324
1623955429235,2021-06-17T12.43.49.235,0.535,-1.037,-0.103,-0.370
1623955429245,2021-06-17T12.43.49.245,0.545,-0.370,-0.255,-0.335
1623955429255,2021-06-17T12.43.49.255,0.555,1.261,-0.122,-0.305
1623955429264,2021-06-17T12.43.49.264,0.564,0.282,-0.206,-0.286
1623955429274,2021-06-17T12.43.49.274,0.574,-0.518,-0.187,-0.312
1623955429284,2021-06-17T12.43.49.284,0.584,-0.320,-0.210,-0.339
1623955429295,2021-06-17T12.43.49.295,0.595,0.602,-0.229,-0.282
1623955429304,2021-06-17T12.43.49.304,0.604,0.598,-0.080,-0.236
1623955429314,2021-06-17T12.43.49.314,0.614,-0.061,-0.244,-0.278
1623955429324,2021-06-17T12.43.49.324,0.624,-0.274,-0.248,-0.259
1623955429334,2021-06-17T12.43.49.334,0.634,-0.130,-0.236,-0.347
1623955429343,2021-06-17T12.43.49.343,0.643,0.469,-0.122,-0.248
1623955429353,2021-06-17T12.43.49.353,0.653,0.419,0.084,-0.221
1623955429364,2021-06-17T12.43.49.364,0.664,-0.149,-0.194,-0.271
1623955429374,2021-06-17T12.43.49.374,0.674,0.145,-0.263,-0.324
1623955429383,2021-06-17T12.43.49.383,0.683,0.240,-0.240,-0.274
1623955429393,2021-06-17T12.43.49.393,0.693,-0.469,-0.061,-0.335
1623955429403,2021-06-17T12.43.49.403,0.703,0.210,-0.084,-0.278
1623955429413,2021-06-17T12.43.49.413,0.713,0.484,-0.206,-0.343
1623955429422,2021-06-17T12.43.49.422,0.722,0.366,-0.118,-0.377
1623955429432,2021-06-17T12.43.49.432,0.732,-0.541,-0.183,-0.389
1623955429443,2021-06-17T12.43.49.443,0.743,-0.393,-0.309,-0.312
1623955429453,2021-06-17T12.43.49.453,0.753,1.067,-0.080,-0.263
1623955429463,2021-06-17T12.43.49.463,0.763,0.572,-0.160,-0.290
1623955429472,2021-06-17T12.43.49.472,0.772,-0.492,-0.141,-0.362
1623955429482,2021-06-17T12.43.49.482,0.782,-0.690,-0.133,-0.393
1623955429493,2021-06-17T12.43.49.493,0.793,0.838,-0.248,-0.324
1623955429503,2021-06-17T12.43.49.503,0.803,1.067,-0.118,-0.225
1623955429512,2021-06-17T12.43.49.512,0.812,-0.293,-0.244,-0.255
1623955429522,2021-06-17T12.43.49.522,0.822,-0.678,-0.263,-0.389
1623955429532,2021-06-17T12.43.49.532,0.832,-0.103,-0.278,-0.366
1623955429542,2021-06-17T12.43.49.542,0.842,0.899,-0.088,-0.290
1623955429551,2021-06-17T12.43.49.551,0.851,0.549,-0.137,-0.244
1623955429561,2021-06-17T12.43.49.561,0.861,-0.518,-0.274,-0.278
1623955429572,2021-06-17T12.43.49.572,0.872,-0.210,-0.324,-0.335
1623955429582,2021-06-17T12.43.49.582,0.882,0.534,-0.290,-0.282
1623955429591,2021-06-17T12.43.49.591,0.891,0.210,-0.130,-0.290
1623955429601,2021-06-17T12.43.49.601,0.901,-0.278,-0.130,-0.232
1623955429611,2021-06-17T12.43.49.611,0.911,0.034,-0.271,-0.293
1623955429621,2021-06-17T12.43.49.621,0.921,0.518,-0.213,-0.221
1623955429630,2021-06-17T12.43.49.630,0.930,0.065,-0.103,-0.297
1623955429640,2021-06-17T12.43.49.640,0.940,-0.274,-0.137,-0.320
1623955429651,2021-06-17T12.43.49.651,0.951,0.697,-0.267,-0.347
1623955429661,2021-06-17T12.43.49.661,0.961,0.370,-0.252,-0.343
1623955429670,2021-06-17T12.43.49.670,0.970,-0.736,-0.168,-0.320
1623955429680,2021-06-17T12.43.49.680,0.980,0.050,-0.141,-0.377
1623955429690,2021-06-17T12.43.49.690,0.990,1.101,-0.198,-0.332
1623955429701,2021-06-17T12.43.49.701,1.001,0.663,-0.198,-0.286
1623955429709,2021-06-17T12.43.49.709,1.009,-0.751,-0.107,-0.312
1623955429720,2021-06-17T12.43.49.720,1.020,-0.572,-0.286,-0.332
1623955429730,2021-06-17T12.43.49.730,1.030,0.678,-0.278,-0.286
1623955429740,2021-06-17T12.43.49.740,1.040,0.724,-0.259,-0.274
1623955429750,2021-06-17T12.43.49.750,1.050,-0.122,-0.095,-0.267
1623955429759,2021-06-17T12.43.49.759,1.059,-0.522,-0.072,-0.335
1623955429769,2021-06-17T12.43.49.769,1.069,0.221,-0.240,-0.301
1623955429780,2021-06-17T12.43.49.780,1.080,1.010,-0.187,-0.324
1623955429790,2021-06-17T12.43.49.790,1.090,0.255,-0.259,-0.259
1623955429799,2021-06-17T12.43.49.799,1.099,-1.010,-0.240,-0.278
1623955429809,2021-06-17T12.43.49.809,1.109,-0.423,-0.244,-0.354
1623955429819,2021-06-17T12.43.49.819,1.119,1.227,-0.057,-0.293
1623955429829,2021-06-17T12.43.49.829,1.129,0.957,0.015,-0.259
1623955429838,2021-06-17T12.43.49.838,1.138,-0.575,-0.213,-0.362
1623955429848,2021-06-17T12.43.49.848,1.148,-0.469,-0.320,-0.335
1623955429859,2021-06-17T12.43.49.859,1.159,0.389,-0.320,-0.293
1623955429869,2021-06-17T12.43.49.869,1.169,0.434,-0.084,-0.335
1623955429878,2021-06-17T12.43.49.878,1.178,-0.415,-0.057,-0.324
1623955429888,2021-06-17T12.43.49.888,1.188,0.084,-0.133,-0.305
1623955429898,2021-06-17T12.43.49.898,1.198,0.572,-0.263,-0.396
1623955429909,2021-06-17T12.43.49.909,1.209,-0.084,-0.244,-0.381
1623955429917,2021-06-17T12.43.49.917,1.217,-0.084,-0.141,-0.324
1623955429928,2021-06-17T12.43.49.928,1.228,0.248,-0.305,-0.347
1623955429938,2021-06-17T12.43.49.938,1.238,0.191,-0.309,-0.312
1623955429948,2021-06-17T12.43.49.948,1.248,-0.240,-0.164,-0.309
1623955429957,2021-06-17T12.43.49.957,1.257,-0.293,-0.130,-0.312
1623955429967,2021-06-17T12.43.49.967,1.267,0.347,-0.114,-0.320
1623955429977,2021-06-17T12.43.49.977,1.277,1.002,-0.301,-0.400
1623955429988,2021-06-17T12.43.49.988,1.288,-0.034,-0.248,-0.293
1623955429996,2021-06-17T12.43.49.996,1.296,-1.326,-0.168,-0.301
1623955430007,2021-06-17T12.43.50.007,1.307,-0.213,-0.183,-0.362
1623955430017,2021-06-17T12.43.50.017,1.317,1.353,-0.095,-0.343
1623955430027,2021-06-17T12.43.50.027,1.327,0.846,-0.030,-0.255
1623955430036,2021-06-17T12.43.50.036,1.336,-0.930,-0.118,-0.305
1623955430046,2021-06-17T12.43.50.046,1.346,-0.663,-0.312,-0.312
1623955430056,2021-06-17T12.43.50.056,1.356,0.857,-0.221,-0.263
1623955430067,2021-06-17T12.43.50.067,1.367,0.709,-0.164,-0.354
1623955430077,2021-06-17T12.43.50.077,1.377,-0.591,-0.072,-0.297
1623955430086,2021-06-17T12.43.50.086,1.386,-0.160,-0.179,-0.316
1623955430096,2021-06-17T12.43.50.096,1.396,0.492,-0.252,-0.351
1623955430106,2021-06-17T12.43.50.106,1.406,0.495,-0.061,-0.324
1623955430117,2021-06-17T12.43.50.117,1.417,0.141,-0.156,-0.309
1623955430125,2021-06-17T12.43.50.125,1.425,-0.255,-0.324,-0.328
1623955430136,2021-06-17T12.43.50.136,1.436,-0.187,-0.309,-0.358
1623955430146,2021-06-17T12.43.50.146,1.446,0.023,-0.210,-0.389
1623955430156,2021-06-17T12.43.50.156,1.456,0.450,0.042,-0.362
1623955430165,2021-06-17T12.43.50.165,1.465,0.210,-0.099,-0.297
1623955430175,2021-06-17T12.43.50.175,1.475,0.091,-0.305,-0.358
1623955430185,2021-06-17T12.43.50.185,1.485,0.373,-0.274,-0.343
1623955430196,2021-06-17T12.43.50.196,1.496,-0.419,-0.267,-0.290
1623955430204,2021-06-17T12.43.50.204,1.504,-0.492,-0.210,-0.282
1623955430215,2021-06-17T12.43.50.215,1.515,0.804,-0.145,-0.252
1623955430225,2021-06-17T12.43.50.225,1.525,0.892,-0.084,-0.263
1623955430235,2021-06-17T12.43.50.235,1.535,-0.644,-0.118,-0.309
1623955430244,2021-06-17T12.43.50.244,1.544,-0.736,-0.259,-0.358
1623955430254,2021-06-17T12.43.50.254,1.554,0.880,-0.225,-0.332
1623955430264,2021-06-17T12.43.50.264,1.564,0.899,-0.088,-0.354
1623955430275,2021-06-17T12.43.50.275,1.575,-0.865,-0.198,-0.358
1623955430284,2021-06-17T12.43.50.284,1.584,-0.629,-0.244,-0.297
1623955430294,2021-06-17T12.43.50.294,1.594,1.002,-0.198,-0.324
1623955430304,2021-06-17T12.43.50.304,1.604,1.113,-0.126,-0.351
1623955430314,2021-06-17T12.43.50.314,1.614,-0.156,-0.103,-0.312
1623955430323,2021-06-17T12.43.50.323,1.623,-0.857,-0.210,-0.301
1623955430333,2021-06-17T12.43.50.333,1.633,0.286,-0.221,-0.404
1623955430344,2021-06-17T12.43.50.344,1.644,0.812,-0.236,-0.354
1623955430354,2021-06-17T12.43.50.354,1.654,0.130,-0.084,-0.229
1623955430363,2021-06-17T12.43.50.363,1.663,-0.393,-0.114,-0.282
1623955430373,2021-06-17T12.43.50.373,1.673,-0.103,-0.271,-0.358
1623955430383,2021-06-17T12.43.50.383,1.683,0.823,-0.267,-0.286
1623955430393,2021-06-17T12.43.50.393,1.693,0.194,-0.149,-0.347
1623955430404,2021-06-17T12.43.50.404,1.704,-0.777,-0.232,-0.324
1623955430412,2021-06-17T12.43.50.412,1.712,0.030,-0.217,-0.278
1623955430423,2021-06-17T12.43.50.423,1.723,0.846,-0.187,-0.312
1623955430433,2021-06-17T12.43.50.433,1.733,0.297,-0.069,-0.320
1623955430443,2021-06-17T12.43.50.443,1.743,-0.427,-0.183,-0.316
1623955430452,2021-06-17T12.43.50.452,1.752,0.023,-0.217,-0.343
1623955430462,2021-06-17T12.43.50.462,1.762,0.511,-0.168,-0.343
1623955430472,2021-06-17T12.43.50.472,1.772,-0.114,-0.191,-0.373
1623955430483,2021-06-17T12.43.50.483,1.783,-0.263,-0.141,-0.255
1623955430492,2021-06-17T12.43.50.492,1.792,0.206,-0.179,-0.274
1623955430502,2021-06-17T12.43.50.502,1.802,0.126,-0.252,-0.332
1623955430512,2021-06-17T12.43.50.512,1.812,0.187,-0.141,-0.301
1623955430522,2021-06-17T12.43.50.522,1.822,0.103,-0.236,-0.343
1623955430531,2021-06-17T12.43.50.531,1.831,-0.232,-0.282,-0.297
1623955430541,2021-06-17T12.43.50.541,1.841,-0.232,-0.244,-0.305
1623955430552,2021-06-17T12.43.50.552,1.852,0.347,-0.099,-0.366
1623955430562,2021-06-17T12.43.50.562,1.862,0.408,0.008,-0.293
1623955430571,2021-06-17T12.43.50.571,1.871,-0.099,-0.164,-0.358
1623955430581,2021-06-17T12.43.50.581,1.881,0.118,-0.248,-0.312
1623955430591,2021-06-17T12.43.50.591,1.891,0.114,-0.126,-0.377
1623955430601,2021-06-17T12.43.50.601,1.901,-0.312,-0.183,-0.316
1623955430610,2021-06-17T12.43.50.610,1.910,0.202,-0.191,-0.278
1623955430620,2021-06-17T12.43.50.620,1.920,0.739,-0.236,-0.320
1623955430631,2021-06-17T12.43.50.631,1.931,-0.160,-0.130,-0.248
1623955430641,2021-06-17T12.43.50.641,1.941,-0.454,-0.126,-0.332
1623955430650,2021-06-17T12.43.50.650,1.950,0.960,-0.175,-0.290
1623955430660,2021-06-17T12.43.50.660,1.960,0.857,-0.122,-0.286
1623955430670,2021-06-17T12.43.50.670,1.970,-0.793,-0.232,-0.366
1623955430680,2021-06-17T12.43.50.680,1.980,-0.556,-0.248,-0.332
1623955430689,2021-06-17T12.43.50.689,1.989,0.877,-0.191,-0.305
1623955430700,2021-06-17T12.43.50.700,2.000,0.884,-0.137,-0.343
1623955430710,2021-06-17T12.43.50.710,2.010,0.057,-0.248,-0.332
1623955430720,2021-06-17T12.43.50.720,2.020,-0.777,-0.255,-0.347
1623955430730,2021-06-17T12.43.50.730,2.030,-0.198,-0.213,-0.248
1623955430739,2021-06-17T12.43.50.739,2.039,0.755,-0.156,-0.301
1623955430749,2021-06-17T12.43.50.749,2.049,0.842,-0.133,-0.320
1623955430760,2021-06-17T12.43.50.760,2.060,-0.423,-0.168,-0.335
1623955430770,2021-06-17T12.43.50.770,2.070,-1.002,-0.271,-0.316
1623955430779,2021-06-17T12.43.50.779,2.079,0.450,-0.107,-0.301
1623955430789,2021-06-17T12.43.50.789,2.089,0.915,-0.084,-0.347
1623955430799,2021-06-17T12.43.50.799,2.099,-0.015,-0.111,-0.309
1623955430809,2021-06-17T12.43.50.809,2.109,-0.880,-0.263,-0.362
1623955430818,2021-06-17T12.43.50.818,2.118,0.030,-0.332,-0.427
1623955430828,2021-06-17T12.43.50.828,2.128,0.667,-0.095,-0.351
1623955430839,2021-06-17T12.43.50.839,2.139,0.202,-0.130,-0.347
1623955430849,2021-06-17T12.43.50.849,2.149,0.168,-0.225,-0.305
1623955430858,2021-06-17T12.43.50.858,2.158,-0.160,-0.320,-0.324
1623955430868,2021-06-17T12.43.50.868,2.168,-0.274,-0.259,-0.351
1623955430878,2021-06-17T12.43.50.878,2.178,0.061,-0.114,-0.377
1623955430888,2021-06-17T12.43.50.888,2.188,0.796,-0.118,-0.278
1623955430897,2021-06-17T12.43.50.897,2.197,0.385,-0.271,-0.301
1623955430908,2021-06-17T12.43.50.908,2.208,-0.404,-0.423,-0.305
1623955430918,2021-06-17T12.43.50.918,2.218,-0.187,-0.130,-0.290
1623955430928,2021-06-17T12.43.50.928,2.228,0.160,-0.114,-0.286
1623955430937,2021-06-17T12.43.50.937,2.237,0.484,-0.255,-0.255
1623955430947,2021-06-17T12.43.50.947,2.247,0.686,-0.271,-0.229
1623955430957,2021-06-17T12.43.50.957,2.257,-0.438,-0.202,-0.335
1623955430968,2021-06-17T12.43.50.968,2.268,-0.907,-0.061,-0.347
1623955430976,2021-06-17T12.43.50.976,2.276,0.694,-0.191,-0.316
1623955430987,2021-06-17T12.43.50.987,2.287,1.387,-0.236,-0.278
1623955430997,2021-06-17T12.43.50.997,2.297,-0.274,-0.225,-0.293
1623955431007,2021-06-17T12.43.51.007,2.307,-1.418,-0.312,-0.351
1623955431017,2021-06-17T12.43.51.017,2.317,-0.053,-0.091,-0.320
1623955431026,2021-06-17T12.43.51.026,2.326,1.471,-0.103,-0.312
1623955431036,2021-06-17T12.43.51.036,2.336,0.713,-0.019,-0.354
1623955431047,2021-06-17T12.43.51.047,2.347,-0.987,-0.194,-0.385
1623955431057,2021-06-17T12.43.51.057,2.357,-0.747,-0.278,-0.335
1623955431066,2021-06-17T12.43.51.066,2.366,0.579,-0.183,-0.328
1623955431076,2021-06-17T12.43.51.076,2.376,0.949,0.015,-0.263
1623955431086,2021-06-17T12.43.51.086,2.386,0.213,-0.019,-0.293
1623955431097,2021-06-17T12.43.51.097,2.397,-0.941,-0.236,-0.377
1623955431105,2021-06-17T12.43.51.105,2.405,-0.286,-0.297,-0.370
1623955431116,2021-06-17T12.43.51.116,2.416,0.854,-0.130,-0.320
1623955431126,2021-06-17T12.43.51.126,2.426,0.713,-0.072,-0.221
1623955431136,2021-06-17T12.43.51.136,2.436,-0.728,-0.168,-0.328
