epoc (ms),timestamp (-0700),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1610813596922,2021-01-16T09.13.16.922,0.000,0.023,0.044,1.002
1610813596932,2021-01-16T09.13.16.932,0.010,0.021,0.045,1.009
1610813596942,2021-01-16T09.13.16.942,0.020,0.023,0.044,1.008
1610813596951,2021-01-16T09.13.16.951,0.029,0.024,0.044,1.008
1610813596961,2021-01-16T09.13.16.961,0.039,0.023,0.047,1.008
1610813596972,2021-01-16T09.13.16.972,0.050,0.021,0.044,1.005
1610813596982,2021-01-16T09.13.16.982,0.060,0.024,0.045,1.005
1610813596991,2021-01-16T09.13.16.991,0.069,0.025,0.046,1.006
1610813597001,2021-01-16T09.13.17.001,0.079,0.021,0.045,1.005
1610813597011,2021-01-16T09.13.17.011,0.089,0.022,0.045,1.007
1610813597022,2021-01-16T09.13.17.022,0.100,0.023,0.045,1.007
1610813597030,2021-01-16T09.13.17.030,0.108,0.024,0.046,1.005
1610813597041,2021-01-16T09.13.17.041,0.119,0.025,0.046,1.005
1610813597051,2021-01-16T09.13.17.051,0.129,0.024,0.045,1.006
1610813597061,2021-01-16T09.13.17.061,0.139,0.022,0.043,1.007
1610813597070,2021-01-16T09.13.17.070,0.148,0.023,0.045,1.006
1610813597080,2021-01-16T09.13.17.080,0.158,0.024,0.044,1.004
1610813597090,2021-01-16T09.13.17.090,0.168,0.023,0.045,1.004
1610813597101,2021-01-16T09.13.17.101,0.179,0.023,0.047,1.004
1610813597109,2021-01-16T09.13.17.109,0.187,0.023,0.047,1.006
1610813597120,2021-01-16T09.13.17.120,0.198,0.023,0.045,1.008
1610813597130,2021-01-16T09.13.17.130,0.208,0.024,0.045,1.008
1610813597140,2021-01-16T09.13.17.140,0.218,0.021,0.045,1.007
1610813597149,2021-01-16T09.13.17.149,0.227,0.023,0.046,1.007
1610813597159,2021-01-16T09.13.17.159,0.237,0.023,0.046,1.007
1610813597170,2021-01-16T09.13.17.170,0.248,0.023,0.045,1.010
1610813597180,2021-01-16T09.13.17.180,0.258,0.024,0.045,1.006
1610813597189,2021-01-16T09.13.17.189,0.267,0.026,0.045,1.003
1610813597199,2021-01-16T09.13.17.199,0.277,0.023,0.045,1.007
1610813597209,2021-01-16T09.13.17.209,0.287,0.022,0.046,1.006
1610813597219,2021-01-16T09.13.17.219,0.297,0.021,0.048,1.005
1610813597230,2021-01-16T09.13.17.230,0.308,0.023,0.045,1.005
1610813597238,2021-01-16T09.13.17.238,0.316,0.023,0.044,1.005
1610813597249,2021-01-16T09.13.17.249,0.327,0.025,0.045,1.006
1610813597259,2021-01-16T09.13.17.259,0.337,0.022,0.048,1.008
1610813597269,2021-01-16T09.13.17.269,0.347,0.022,0.047,1.004
1610813597278,2021-01-16T09.13.17.278,0.356,0.024,0.045,1.007
1610813597288,2021-01-16T09.13.17.288,0.366,0.021,0.044,1.008
1610813597298,2021-01-16T09.13.17.298,0.376,0.022,0.046,1.006
1610813597309,2021-01-16T09.13.17.309,0.387,0.023,0.047,1.006
1610813597317,2021-01-16T09.13.17.317,0.395,0.023,0.045,1.006
1610813597328,2021-01-16T09.13.17.328,0.406,0.021,0.045,1.007
1610813597338,2021-01-16T09.13.17.338,0.416,0.024,0.045,1.005
1610813597348,2021-01-16T09.13.17.348,0.426,0.024,0.046,1.004
1610813597357,2021-01-16T09.13.17.357,0.435,0.022,0.047,1.006
1610813597367,2021-01-16T09.13.17.367,0.445,0.022,0.047,1.008
1610813597378,2021-01-16T09.13.17.378,0.456,0.021,0.044,1.004
1610813597388,2021-01-16T09.13.17.388,0.466,0.023,0.046,1.007
1610813597397,2021-01-16T09.13.17.397,0.475,0.025,0.046,1.008
1610813597407,2021-01-16T09.13.17.407,0.485,0.024,0.045,1.007
1610813597417,2021-01-16T09.13.17.417,0.495,0.023,0.046,1.006
1610813597427,2021-01-16T09.13.17.427,0.505,0.023,0.046,1.004
1610813597436,2021-01-16T09.13.17.436,0.514,0.022,0.045,1.009
1610813597446,2021-01-16T09.13.17.446,0.524,0.023,0.043,1.007
1610813597457,2021-01-16T09.13.17.457,0.535,0.023,0.044,1.004
1610813597467,2021-01-16T09.13.17.467,0.545,0.026,0.044,1.008
1610813597477,2021-01-16T09.13.17.477,0.555,0.026,0.044,1.013
1610813597486,2021-01-16T09.13.17.486,0.564,0.023,0.046,1.006
1610813597496,2021-01-16T09.13.17.496,0.574,0.022,0.045,1.006
1610813597506,2021-01-16T09.13.17.506,0.584,0.022,0.045,1.005
1610813597517,2021-01-16T09.13.17.517,0.595,0.024,0.045,1.005
1610813597525,2021-01-16T09.13.17.525,0.603,0.023,0.045,1.009
1610813597536,2021-01-16T09.13.17.536,0.614,0.023,0.046,1.007
1610813597546,2021-01-16T09.13.17.546,0.624,0.023,0.045,1.005
1610813597556,2021-01-16T09.13.17.556,0.634,0.021,0.045,1.007
1610813597565,2021-01-16T09.13.17.565,0.643,0.022,0.045,1.010
1610813597575,2021-01-16T09.13.17.575,0.653,0.024,0.043,1.006
1610813597586,2021-01-16T09.13.17.586,0.664,0.023,0.045,1.007
1610813597596,2021-01-16T09.13.17.596,0.674,0.023,0.045,1.011
1610813597605,2021-01-16T09.13.17.605,0.683,0.024,0.047,1.009
1610813597615,2021-01-16T09.13.17.615,0.693,0.025,0.048,1.006
1610813597625,2021-01-16T09.13.17.625,0.703,0.024,0.043,1.007
1610813597635,2021-01-16T09.13.17.635,0.713,0.022,0.043,1.010
1610813597644,2021-01-16T09.13.17.644,0.722,0.025,0.044,1.009
1610813597654,2021-01-16T09.13.17.654,0.732,0.022,0.045,1.007
1610813597665,2021-01-16T09.13.17.665,0.743,0.023,0.043,1.006
1610813597675,2021-01-16T09.13.17.675,0.753,0.022,0.046,1.009
1610813597684,2021-01-16T09.13.17.684,0.762,0.021,0.043,1.005
1610813597694,2021-01-16T09.13.17.694,0.772,0.024,0.042,1.004
1610813597704,2021-01-16T09.13.17.704,0.782,0.021,0.045,1.007
1610813597714,2021-01-16T09.13.17.714,0.792,0.024,0.045,1.007
1610813597723,2021-01-16T09.13.17.723,0.801,0.023,0.044,1.004
1610813597733,2021-01-16T09.13.17.733,0.811,0.022,0.044,1.006
1610813597744,2021-01-16T09.13.17.744,0.822,0.021,0.045,1.010
1610813597754,2021-01-16T09.13.17.754,0.832,0.025,0.047,1.010
1610813597764,2021-01-16T09.13.17.764,0.842,0.023,0.046,1.005
1610813597773,2021-01-16T09.13.17.773,0.851,0.022,0.045,1.007
1610813597783,2021-01-16T09.13.17.783,0.861,0.024,0.044,1.010
1610813597794,2021-01-16T09.13.17.794,0.872,0.024,0.044,1.006
1610813597804,2021-01-16T09.13.17.804,0.882,0.024,0.045,1.006
1610813597813,2021-01-16T09.13.17.813,0.891,0.022,0.045,1.005
1610813597823,2021-01-16T09.13.17.823,0.901,0.021,0.046,1.009
1610813597833,2021-01-16T09.13.17.833,0.911,0.025,0.046,1.007
1610813597843,2021-01-16T09.13.17.843,0.921,0.022,0.044,1.005
1610813597852,2021-01-16T09.13.17.852,0.930,0.021,0.045,1.009
1610813597862,2021-01-16T09.13.17.862,0.940,0.023,0.046,1.008
1610813597873,2021-01-16T09.13.17.873,0.951,0.021,0.045,1.009
1610813597883,2021-01-16T09.13.17.883,0.961,0.023,0.044,1.008
1610813597892,2021-01-16T09.13.17.892,0.970,0.023,0.046,1.006
1610813597902,2021-01-16T09.13.17.902,0.980,0.022,0.044,1.009
1610813597912,2021-01-16T09.13.17.912,0.990,0.024,0.043,1.007
1610813597922,2021-01-16T09.13.17.922,1.000,0.021,0.045,1.008
1610813597931,2021-01-16T09.13.17.931,1.009,0.023,0.043,1.007
1610813597941,2021-01-16T09.13.17.941,1.019,0.024,0.043,1.009
1610813597952,2021-01-16T09.13.17.952,1.030,0.024,0.044,1.005
1610813597962,2021-01-16T09.13.17.962,1.040,0.024,0.048,1.006
1610813597971,2021-01-16T09.13.17.971,1.049,0.024,0.046,1.007
1610813597981,2021-01-16T09.13.17.981,1.059,0.020,0.044,1.006
1610813597991,2021-01-16T09.13.17.991,1.069,0.023,0.044,1.010
1610813598002,2021-01-16T09.13.18.002,1.080,0.025,0.045,1.008
1610813598010,2021-01-16T09.13.18.010,1.088,0.023,0.046,1.009
1610813598021,2021-01-16T09.13.18.021,1.099,0.021,0.047,1.006
1610813598031,2021-01-16T09.13.18.031,1.109,0.023,0.044,1.007
1610813598041,2021-01-16T09.13.18.041,1.119,0.023,0.043,1.008
1610813598051,2021-01-16T09.13.18.051,1.129,0.022,0.044,1.005
1610813598060,2021-01-16T09.13.18.060,1.138,0.021,0.046,1.006
1610813598070,2021-01-16T09.13.18.070,1.148,0.022,0.045,1.006
1610813598081,2021-01-16T09.13.18.081,1.159,0.023,0.045,1.009
1610813598091,2021-01-16T09.13.18.091,1.169,0.023,0.045,1.007
1610813598100,2021-01-16T09.13.18.100,1.178,0.024,0.044,1.009
1610813598110,2021-01-16T09.13.18.110,1.188,0.024,0.045,1.008
1610813598120,2021-01-16T09.13.18.120,1.198,0.026,0.045,1.005
1610813598130,2021-01-16T09.13.18.130,1.208,0.022,0.045,1.006
1610813598139,2021-01-16T09.13.18.139,1.217,0.022,0.043,1.010
1610813598149,2021-01-16T09.13.18.149,1.227,0.023,0.044,1.005
1610813598160,2021-01-16T09.13.18.160,1.238,0.023,0.043,1.007
1610813598170,2021-01-16T09.13.18.170,1.248,0.024,0.044,1.008
1610813598179,2021-01-16T09.13.18.179,1.257,0.021,0.045,1.009
1610813598189,2021-01-16T09.13.18.189,1.267,0.022,0.045,1.009
1610813598199,2021-01-16T09.13.18.199,1.277,0.023,0.044,1.008
1610813598210,2021-01-16T09.13.18.210,1.288,0.023,0.044,1.004
1610813598218,2021-01-16T09.13.18.218,1.296,0.025,0.045,1.007
1610813598229,2021-01-16T09.13.18.229,1.307,0.025,0.044,1.006
1610813598239,2021-01-16T09.13.18.239,1.317,0.021,0.046,1.007
1610813598249,2021-01-16T09.13.18.249,1.327,0.021,0.046,1.010
1610813598258,2021-01-16T09.13.18.258,1.336,0.024,0.045,1.010
1610813598268,2021-01-16T09.13.18.268,1.346,0.025,0.044,1.009
1610813598278,2021-01-16T09.13.18.278,1.356,0.024,0.046,1.009
1610813598289,2021-01-16T09.13.18.289,1.367,0.023,0.047,1.009
1610813598299,2021-01-16T09.13.18.299,1.377,0.024,0.047,1.007
1610813598308,2021-01-16T09.13.18.308,1.386,0.024,0.046,1.004
1610813598318,2021-01-16T09.13.18.318,1.396,0.023,0.044,1.009
1610813598328,2021-01-16T09.13.18.328,1.406,0.024,0.045,1.010
1610813598338,2021-01-16T09.13.18.338,1.416,0.022,0.045,1.006
1610813598347,2021-01-16T09.13.18.347,1.425,0.022,0.045,1.004
1610813598357,2021-01-16T09.13.18.357,1.435,0.024,0.044,1.008
1610813598368,2021-01-16T09.13.18.368,1.446,0.022,0.045,1.011
1610813598378,2021-01-16T09.13.18.378,1.456,0.022,0.044,1.007
1610813598387,2021-01-16T09.13.18.387,1.465,0.021,0.046,1.003
1610813598397,2021-01-16T09.13.18.397,1.475,0.025,0.046,1.008
1610813598407,2021-01-16T09.13.18.407,1.485,0.022,0.046,1.010
1610813598418,2021-01-16T09.13.18.418,1.496,0.021,0.045,1.008
1610813598426,2021-01-16T09.13.18.426,1.504,0.024,0.044,1.008
