epoc (ms),timestamp (-0700),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1610813596942,2021-01-16T09.13.16.942,0.000,-0.183,-0.244,-0.305
1610813596951,2021-01-16T09.13.16.951,0.009,0.122,-0.183,-0.244
1610813596961,2021-01-16T09.13.16.961,0.019,0.183,-0.122,-0.244
1610813596972,2021-01-16T09.13.16.972,0.030,0.122,-0.183,-0.305
1610813596982,2021-01-16T09.13.16.982,0.040,0.061,-0.244,-0.244
1610813596991,2021-01-16T09.13.16.991,0.049,0.122,-0.244,-0.305
1610813597001,2021-01-16T09.13.17.001,0.059,0.061,-0.183,-0.305
1610813597011,2021-01-16T09.13.17.011,0.069,0.122,-0.122,-0.244
1610813597022,2021-01-16T09.13.17.022,0.080,0.183,-0.183,-0.244
1610813597030,2021-01-16T09.13.17.030,0.088,0.122,-0.244,-0.305
1610813597041,2021-01-16T09.13.17.041,0.099,0.122,-0.366,-0.305
1610813597051,2021-01-16T09.13.17.051,0.109,0.061,-0.244,-0.305
1610813597061,2021-01-16T09.13.17.061,0.119,0.122,-0.122,-0.244
1610813597070,2021-01-16T09.13.17.070,0.128,0.122,-0.183,-0.305
1610813597080,2021-01-16T09.13.17.080,0.138,0.061,-0.183,-0.305
1610813597090,2021-01-16T09.13.17.090,0.148,0.183,-0.183,-0.305
1610813597101,2021-01-16T09.13.17.101,0.159,0.061,-0.183,-0.305
1610813597109,2021-01-16T09.13.17.109,0.167,0.061,-0.183,-0.305
1610813597120,2021-01-16T09.13.17.120,0.178,0.122,-0.244,-0.305
1610813597130,2021-01-16T09.13.17.130,0.188,0.122,-0.122,-0.305
1610813597140,2021-01-16T09.13.17.140,0.198,0.244,-0.183,-0.366
1610813597149,2021-01-16T09.13.17.149,0.207,0.183,-0.122,-0.305
1610813597159,2021-01-16T09.13.17.159,0.217,0.122,-0.122,-0.305
1610813597170,2021-01-16T09.13.17.170,0.228,0.000,-0.244,-0.366
1610813597180,2021-01-16T09.13.17.180,0.238,0.061,-0.244,-0.305
1610813597189,2021-01-16T09.13.17.189,0.247,0.122,-0.183,-0.305
1610813597199,2021-01-16T09.13.17.199,0.257,0.122,-0.183,-0.305
1610813597209,2021-01-16T09.13.17.209,0.267,0.122,-0.183,-0.305
1610813597219,2021-01-16T09.13.17.219,0.277,0.122,-0.183,-0.305
1610813597230,2021-01-16T09.13.17.230,0.288,0.122,-0.183,-0.244
1610813597238,2021-01-16T09.13.17.238,0.296,0.183,-0.183,-0.366
1610813597249,2021-01-16T09.13.17.249,0.307,0.061,-0.244,-0.366
1610813597259,2021-01-16T09.13.17.259,0.317,0.122,-0.244,-0.305
1610813597269,2021-01-16T09.13.17.269,0.327,0.122,-0.305,-0.305
1610813597278,2021-01-16T09.13.17.278,0.336,0.061,-0.183,-0.305
1610813597288,2021-01-16T09.13.17.288,0.346,0.183,-0.183,-0.366
1610813597298,2021-01-16T09.13.17.298,0.356,0.183,-0.244,-0.305
1610813597309,2021-01-16T09.13.17.309,0.367,0.183,-0.183,-0.366
1610813597317,2021-01-16T09.13.17.317,0.375,0.122,-0.183,-0.305
1610813597328,2021-01-16T09.13.17.328,0.386,0.183,-0.183,-0.244
1610813597338,2021-01-16T09.13.17.338,0.396,0.183,-0.122,-0.305
1610813597348,2021-01-16T09.13.17.348,0.406,0.061,-0.183,-0.244
1610813597357,2021-01-16T09.13.17.357,0.415,0.122,-0.122,-0.305
1610813597367,2021-01-16T09.13.17.367,0.425,0.183,-0.183,-0.244
1610813597378,2021-01-16T09.13.17.378,0.436,0.122,-0.244,-0.244
1610813597388,2021-01-16T09.13.17.388,0.446,0.122,-0.122,-0.244
1610813597397,2021-01-16T09.13.17.397,0.455,0.061,-0.183,-0.366
1610813597407,2021-01-16T09.13.17.407,0.465,0.122,-0.244,-0.244
1610813597417,2021-01-16T09.13.17.417,0.475,0.122,-0.244,-0.305
1610813597427,2021-01-16T09.13.17.427,0.485,0.183,-0.183,-0.244
1610813597436,2021-01-16T09.13.17.436,0.494,0.122,-0.122,-0.244
1610813597446,2021-01-16T09.13.17.446,0.504,0.183,-0.244,-0.244
1610813597457,2021-01-16T09.13.17.457,0.515,0.061,-0.183,-0.305
1610813597467,2021-01-16T09.13.17.467,0.525,0.061,-0.122,-0.305
1610813597477,2021-01-16T09.13.17.477,0.535,0.122,-0.122,-0.305
1610813597486,2021-01-16T09.13.17.486,0.544,0.061,-0.122,-0.366
1610813597496,2021-01-16T09.13.17.496,0.554,0.061,-0.183,-0.305
1610813597506,2021-01-16T09.13.17.506,0.564,0.122,-0.183,-0.305
1610813597517,2021-01-16T09.13.17.517,0.575,0.061,-0.122,-0.305
1610813597525,2021-01-16T09.13.17.525,0.583,0.061,-0.122,-0.366
1610813597536,2021-01-16T09.13.17.536,0.594,0.183,-0.183,-0.366
1610813597546,2021-01-16T09.13.17.546,0.604,0.122,-0.122,-0.305
1610813597556,2021-01-16T09.13.17.556,0.614,0.061,-0.122,-0.305
1610813597565,2021-01-16T09.13.17.565,0.623,0.122,-0.183,-0.244
1610813597575,2021-01-16T09.13.17.575,0.633,0.122,-0.183,-0.305
1610813597586,2021-01-16T09.13.17.586,0.644,0.061,-0.183,-0.366
1610813597596,2021-01-16T09.13.17.596,0.654,0.122,-0.122,-0.305
1610813597605,2021-01-16T09.13.17.605,0.663,0.183,-0.244,-0.366
1610813597615,2021-01-16T09.13.17.615,0.673,0.183,-0.244,-0.305
1610813597625,2021-01-16T09.13.17.625,0.683,0.305,-0.183,-0.305
1610813597635,2021-01-16T09.13.17.635,0.693,0.183,-0.122,-0.244
1610813597644,2021-01-16T09.13.17.644,0.702,0.122,-0.183,-0.244
1610813597654,2021-01-16T09.13.17.654,0.712,0.122,-0.183,-0.305
1610813597665,2021-01-16T09.13.17.665,0.723,0.122,-0.122,-0.305
1610813597675,2021-01-16T09.13.17.675,0.733,0.061,-0.122,-0.366
1610813597684,2021-01-16T09.13.17.684,0.742,0.183,-0.244,-0.305
1610813597694,2021-01-16T09.13.17.694,0.752,0.122,-0.122,-0.305
1610813597704,2021-01-16T09.13.17.704,0.762,0.122,-0.122,-0.305
1610813597714,2021-01-16T09.13.17.714,0.772,0.183,-0.183,-0.366
1610813597725,2021-01-16T09.13.17.725,0.783,0.183,-0.244,-0.305
1610813597733,2021-01-16T09.13.17.733,0.791,0.122,-0.183,-0.305
1610813597744,2021-01-16T09.13.17.744,0.802,0.061,-0.183,-0.305
1610813597754,2021-01-16T09.13.17.754,0.812,0.183,-0.183,-0.305
1610813597764,2021-01-16T09.13.17.764,0.822,0.122,-0.305,-0.305
1610813597773,2021-01-16T09.13.17.773,0.831,0.122,-0.122,-0.244
1610813597783,2021-01-16T09.13.17.783,0.841,0.183,-0.183,-0.366
1610813597794,2021-01-16T09.13.17.794,0.852,0.183,-0.244,-0.305
1610813597804,2021-01-16T09.13.17.804,0.862,0.122,-0.244,-0.305
1610813597813,2021-01-16T09.13.17.813,0.871,0.244,-0.244,-0.305
1610813597823,2021-01-16T09.13.17.823,0.881,0.244,-0.183,-0.366
1610813597833,2021-01-16T09.13.17.833,0.891,0.183,-0.244,-0.305
1610813597843,2021-01-16T09.13.17.843,0.901,0.183,-0.183,-0.305
1610813597852,2021-01-16T09.13.17.852,0.910,0.183,-0.122,-0.305
1610813597862,2021-01-16T09.13.17.862,0.920,0.122,-0.122,-0.244
1610813597873,2021-01-16T09.13.17.873,0.931,0.061,-0.183,-0.305
1610813597883,2021-01-16T09.13.17.883,0.941,0.183,-0.183,-0.366
1610813597892,2021-01-16T09.13.17.892,0.950,0.122,-0.305,-0.305
1610813597902,2021-01-16T09.13.17.902,0.960,0.061,-0.122,-0.244
1610813597912,2021-01-16T09.13.17.912,0.970,0.122,-0.122,-0.305
1610813597922,2021-01-16T09.13.17.922,0.980,0.122,-0.122,-0.305
1610813597931,2021-01-16T09.13.17.931,0.989,0.122,-0.122,-0.305
1610813597941,2021-01-16T09.13.17.941,0.999,0.183,-0.183,-0.305
1610813597952,2021-01-16T09.13.17.952,1.010,0.122,-0.122,-0.305
1610813597962,2021-01-16T09.13.17.962,1.020,0.122,-0.122,-0.305
1610813597971,2021-01-16T09.13.17.971,1.029,0.183,-0.183,-0.305
1610813597981,2021-01-16T09.13.17.981,1.039,0.183,-0.122,-0.366
1610813597991,2021-01-16T09.13.17.991,1.049,0.122,-0.183,-0.244
1610813598002,2021-01-16T09.13.18.002,1.060,0.061,-0.183,-0.305
1610813598012,2021-01-16T09.13.18.012,1.070,0.122,-0.183,-0.305
1610813598021,2021-01-16T09.13.18.021,1.079,0.122,-0.305,-0.366
1610813598031,2021-01-16T09.13.18.031,1.089,0.122,-0.122,-0.366
1610813598041,2021-01-16T09.13.18.041,1.099,0.061,-0.183,-0.366
1610813598051,2021-01-16T09.13.18.051,1.109,0.122,-0.244,-0.305
1610813598060,2021-01-16T09.13.18.060,1.118,0.183,-0.122,-0.244
1610813598070,2021-01-16T09.13.18.070,1.128,0.122,-0.244,-0.183
1610813598081,2021-01-16T09.13.18.081,1.139,0.122,-0.244,-0.305
1610813598091,2021-01-16T09.13.18.091,1.149,0.183,-0.183,-0.305
1610813598100,2021-01-16T09.13.18.100,1.158,0.244,-0.183,-0.305
1610813598110,2021-01-16T09.13.18.110,1.168,0.183,-0.183,-0.305
1610813598120,2021-01-16T09.13.18.120,1.178,0.183,-0.244,-0.305
1610813598130,2021-01-16T09.13.18.130,1.188,0.122,-0.122,-0.305
1610813598139,2021-01-16T09.13.18.139,1.197,0.183,-0.183,-0.244
1610813598149,2021-01-16T09.13.18.149,1.207,0.122,-0.244,-0.244
1610813598160,2021-01-16T09.13.18.160,1.218,0.061,-0.244,-0.305
1610813598170,2021-01-16T09.13.18.170,1.228,0.122,-0.183,-0.305
1610813598179,2021-01-16T09.13.18.179,1.237,0.122,-0.183,-0.305
1610813598189,2021-01-16T09.13.18.189,1.247,0.122,-0.244,-0.305
1610813598199,2021-01-16T09.13.18.199,1.257,0.061,-0.183,-0.244
1610813598210,2021-01-16T09.13.18.210,1.268,0.122,-0.122,-0.244
1610813598218,2021-01-16T09.13.18.218,1.276,0.183,-0.183,-0.244
1610813598229,2021-01-16T09.13.18.229,1.287,0.183,-0.305,-0.244
1610813598239,2021-01-16T09.13.18.239,1.297,0.061,-0.122,-0.244
1610813598249,2021-01-16T09.13.18.249,1.307,0.122,-0.061,-0.305
1610813598258,2021-01-16T09.13.18.258,1.316,0.183,-0.244,-0.244
1610813598268,2021-01-16T09.13.18.268,1.326,0.122,-0.244,-0.244
1610813598278,2021-01-16T09.13.18.278,1.336,0.183,-0.183,-0.244
1610813598289,2021-01-16T09.13.18.289,1.347,0.122,-0.122,-0.183
1610813598299,2021-01-16T09.13.18.299,1.357,0.122,-0.244,-0.305
1610813598308,2021-01-16T09.13.18.308,1.366,0.122,-0.244,-0.305
1610813598318,2021-01-16T09.13.18.318,1.376,0.061,-0.183,-0.366
1610813598328,2021-01-16T09.13.18.328,1.386,0.122,-0.244,-0.305
1610813598338,2021-01-16T09.13.18.338,1.396,0.122,-0.244,-0.244
1610813598347,2021-01-16T09.13.18.347,1.405,0.122,-0.183,-0.305
1610813598357,2021-01-16T09.13.18.357,1.415,0.183,-0.122,-0.366
1610813598368,2021-01-16T09.13.18.368,1.426,0.061,-0.061,-0.244
1610813598378,2021-01-16T09.13.18.378,1.436,0.061,-0.244,-0.244
1610813598387,2021-01-16T09.13.18.387,1.445,0.183,-0.244,-0.244
1610813598397,2021-01-16T09.13.18.397,1.455,0.122,-0.183,-0.305
1610813598407,2021-01-16T09.13.18.407,1.465,0.122,-0.183,-0.244
1610813598418,2021-01-16T09.13.18.418,1.476,0.183,-0.305,-0.244
1610813598426,2021-01-16T09.13.18.426,1.484,0.244,-0.244,-0.244
1610813598437,2021-01-16T09.13.18.437,1.495,0.183,-0.183,-0.305
1610813598447,2021-01-16T09.13.18.447,1.505,0.122,-0.061,-0.244
1610813598457,2021-01-16T09.13.18.457,1.515,0.183,-0.244,-0.305
1610813598466,2021-01-16T09.13.18.466,1.524,0.183,-0.244,-0.305
1610813598476,2021-01-16T09.13.18.476,1.534,0.122,-0.183,-0.244
1610813598486,2021-01-16T09.13.18.486,1.544,0.122,-0.244,-0.244
1610813598497,2021-01-16T09.13.18.497,1.555,0.183,-0.244,-0.244
1610813598505,2021-01-16T09.13.18.505,1.563,0.183,-0.122,-0.305
1610813598516,2021-01-16T09.13.18.516,1.574,0.122,-0.183,-0.305
1610813598526,2021-01-16T09.13.18.526,1.584,0.244,-0.183,-0.366
