,yaw
0,0
1,-0.0057766
2,-0.022928
3,-0.050926
4,-0.088908
5,-0.1357
6,-0.18987
7,-0.24974
8,-0.31347
9,-0.3791
10,-0.4446
11,-0.50795
12,-0.56721
13,-0.62055
14,-0.66632
15,-0.70312
16,-0.72981
17,-0.74557
18,-0.74991
19,-0.7427
20,-0.72416
21,-0.69487
22,-0.65572
23,-0.60793
24,-0.55295
25,-0.4925
26,-0.42842
27,-0.3627
28,-0.29736
29,-0.23441
30,-0.17579
31,-0.12331
32,-0.078582
33,-0.042987
34,-0.01762
35,-0.0032631
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,-0.0093693
102,-0.041441
103,-0.095342
104,-0.16941
105,-0.26137
106,-0.36838
107,-0.48714
108,-0.61401
109,-0.74506
110,-0.87627
111,-1.0036
112,-1.1231
113,-1.2311
114,-1.3243
115,-1.3998
116,-1.4553
117,-1.489
118,-1.5
119,-1.4879
120,-1.453
121,-1.3965
122,-1.3201
123,-1.2261
124,-1.1174
125,-0.99744
126,-0.86983
127,-0.73854
128,-0.6076
129,-0.48104
130,-0.36277
131,-0.25644
132,-0.1653
133,-0.092183
134,-0.039329
135,-0.0083693
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,-0.0074131
202,-0.037243
203,-0.089032
204,-0.16118
205,-0.25148
206,-0.35713
207,-0.47488
208,-0.60111
209,-0.73193
210,-0.8633
211,-0.99118
212,-1.1116
213,-1.2209
214,-1.3157
215,-1.3931
216,-1.4507
217,-1.4867
218,-1.4999
219,-1.4901
220,-1.4575
221,-1.4031
222,-1.3285
223,-1.2362
224,-1.1288
225,-1.0098
226,-0.88278
227,-0.75168
228,-0.62052
229,-0.49335
230,-0.37409
231,-0.2664
232,-0.17362
233,-0.098594
234,-0.043637
235,-0.010441
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,-0.00075794
302,-0.0044352
303,-0.011057
304,-0.020418
305,-0.032232
306,-0.046133
307,-0.061693
308,-0.078434
309,-0.095839
310,-0.11337
311,-0.13049
312,-0.14668
313,-0.16142
314,-0.17427
315,-0.18484
316,-0.19279
317,-0.19788
318,-0.19995
319,-0.19895
320,-0.1949
321,-0.18792
322,-0.17824
323,-0.16614
324,-0.15201
325,-0.13628
326,-0.11943
327,-0.10198
328,-0.084464
329,-0.067431
330,-0.051401
331,-0.036869
332,-0.024282
333,-0.014027
334,-0.0064214
335,-0.0016985
336,-3.93E-06
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0.00020921
402,0.0014752
403,0.0038511
404,0.0072637
405,0.011608
406,0.016749
407,0.02253
408,0.028773
409,0.035284
410,0.041863
411,0.048308
412,0.05442
413,0.060011
414,0.064908
415,0.068961
416,0.072044
417,0.074064
418,0.074956
419,0.074695
420,0.073288
421,0.070779
422,0.067244
423,0.062793
424,0.057563
425,0.051714
426,0.045428
427,0.038897
428,0.032324
429,0.025909
430,0.019852
431,0.014339
432,0.0095392
433,0.0056007
434,0.002645
435,0.00076312
436,1.30E-05
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0.0014565
502,0.012983
503,0.035663
504,0.068798
505,0.11137
506,0.16205
507,0.2193
508,0.28135
509,0.34628
510,0.4121
511,0.47677
512,0.53831
513,0.59482
514,0.64455
515,0.68598
516,0.71783
517,0.73912
518,0.74919
519,0.74773
520,0.73479
521,0.71077
522,0.6764
523,0.63274
524,0.58115
525,0.5232
526,0.46069
527,0.39553
528,0.32975
529,0.26536
530,0.20435
531,0.14859
532,0.099812
533,0.059509
534,0.028927
535,0.009006
536,0.00036058
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
